object_id,object_type,mod_id,mod_name,source_file,load_winner,source_has_ai_weight,ai_weight_summary,cost,upkeep,produces,prerequisites,potential_allow_gates,event_flags,upgrade_from,upgrades_to,unlocks,strategic_role,strategic_tier,route_ids,parent_ai_support,policy_status,director_action,validation_status,route_id,weight,file_key,source_path,generated_folder,coefficient,additional_weight,generated_file
giga_tech_war_system_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_05_weightless.txt,yes,yes,ai_signal_present,,,,,potential,systemcraft_disabled;warmoon_disabled;warplanet_disabled,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_05_weightless.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_2,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_1,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,170000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_3,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_2,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,190000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_4,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_3,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,210000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_5,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_4,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,230000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_6,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_5,potential,systemcraft_disabled,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,250000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_ehof_sentient_tier_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_06_special_project_tech.txt,yes,yes,ai_signal_present,,,,,potential,ehof_disabled;ehof_level_1_possible,,,,prerequisite_only,opening,,parent_ai_partial,parent_ai_ok,research,ok,gigas_special_resource_core,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_06_special_project_tech.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_nm_utilization_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_09_ehof_other.txt,yes,yes,ai_signal_present,,,,tech_negative_e_s;tech_ssn_det;tech_u_r_e_t,,,,,,prerequisite_only,opening,,parent_ai_partial,parent_ai_ok,research,ok,gigas_special_resource_core,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_09_ehof_other.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_amb_supertensiles,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_17_alternative_mega_build.txt,yes,yes,ai_signal_present,,,,,potential,@giga_amb_flag;giga_sr_amb_megaconstruction_found,,,,mandatory_unlock,midgame,gigas_special_resource_core,parent_ai_partial,needs_route_policy,research,ok,gigas_special_resource_core,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_17_alternative_mega_build.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_Carrier_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_battleships,potential,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,125000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_Dreadnought_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_battleships,potential,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_Flagship_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,,potential,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,170000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_heavycarrier_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_Carrier_1,potential;trigger,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,130000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_supercarrier_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_heavycarrier_1,potential;trigger,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,145000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
esc_tech_dark_matter_power_core_2,technology,2648658105,Extra Ship Components NEXT,common/technology/esc_technology_req_components.txt,yes,yes,ai_signal_present,,,,tech_dark_matter_power_core,potential;trigger,@ACOT_active_flag;ESC_GLOBAL_FLAG_reactors_forbidden,,,,mandatory_unlock,midgame,esc_component_route;gigas_special_resource_core,parent_ai_partial,needs_route_policy,research,ok,esc_component_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\2648658105-extra-ship-components-next\common\technology\esc_technology_req_components.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
esc_tech_strikecraft_5,technology,2648658105,Extra Ship Components NEXT,common/technology/esc_technology_strikecraft.txt,yes,yes,ai_signal_present,,,,esc_tech_strikecraft_4,potential,ESC_GLOBAL_FLAG_adv_vanilla_strikecrafts_forbidden,,,,mandatory_unlock,midgame,esc_component_route,parent_ai_partial,needs_route_policy,research,ok,esc_component_route,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\2648658105-extra-ship-components-next\common\technology\esc_technology_strikecraft.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
esc_tech_dreadnought_computer,technology,2648658105,Extra Ship Components NEXT,common/technology/esc_technology_req_components.txt,yes,yes,ai_signal_present,,,,tech_cruisers,potential,ESC_GLOBAL_FLAG_dreadnought_tech_forbidden,,,,mandatory_unlock,opening,esc_component_route;nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,esc_component_route,130000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\2648658105-extra-ship-components-next\common\technology\esc_technology_req_components.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_starbase_6,technology,3250900527,Starbase Extended 3.0,common/technology/sbx_3_0_technologies.txt,yes,yes,ai_signal_present,,,,tech_starbase_5,potential,,,,,prerequisite_only,opening,,parent_ai_partial,parent_ai_ok,research,ok,fallen_empire_benchmark_route,135000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\3250900527-starbase-extended-30\common\technology\sbx_3_0_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
