artifact_path,artifact_type,topic,claim_supported,confidence,limitations,recommended_codex_use
research/stellar-ai/object-atlas/parent-ai-support-map-2026-07-06.csv,dataset,parent AI support,Classifies parent AI support completeness/partial/absent/unknown.,medium-high,Large CSV; revalidate if source changes.,Use before overriding parent objects.
research/stellar-ai/object-atlas/policy-matrix-2026-07-06.csv,dataset,policy routing,Maps objects to route policies and actions.,medium-high,Large CSV; revalidate for new source.,Use to decide object-specific weights.
research/stellar-ai/stellar-ai-director-generated-file-audit-2026-07-04.md,audit,generated file validity,Reports generated file surfaces and parse/shape status.,medium-high,Date older than some changes; refresh after generator edits.,Run/refresh before commit.
research/stellar-ai/stellar-ai-director-generated-reference-audit-2026-07-04.md,audit,reference integrity,Audits references from generated objects.,medium-high,Large; refresh required after new references.,Use for reference validation.
research/stellar-ai/stellar-ai-director-generated-conflicts-2026-07-04.md,audit,conflict winners,Documents generated conflict surfaces and winners.,medium,Requires Irony refresh after playset changes.,Use for conflict classification.
research/stellar-ai/stellar-ai-director-integration-policy-audit-2026-07-04.md,audit,integration policy,Catalogs integration surfaces and readiness.,medium,May be stale after changes.,Refresh for compatibility slices.
research/stellar-ai/stellar-ai-director-economic-valuation-2026-07-07.md,dataset/report,construction valuation,Active-stack economic valuation for buildings/zones/districts.,medium-high,Large CSV companion needed for row details.,Use for construction pressure decisions.
research/stellar-ai/stellar-ai-director-nonconstruction-economic-valuation-2026-07-07.md,dataset/report,nonconstruction valuation,"Values APs, policies, techs, resources, jobs, starbase objects and other nonconstruction surfaces.",medium-high,Large CSV; not row-inspected here.,Use for AP/tradition/tech/resource route decisions.
research/stellar-ai/stellar-ai-director-dataset-job-pressure-overrides-2026-07-07.csv,dataset,job pressure overrides,Catalog for generated job-pressure building/district overrides.,medium,Need JDataMunch for row details.,Use before job/ai_resource_production changes.
research/stellar-ai/stellar-ai-director-planetary-diversity-profile-2026-07-07.md,profile,Planetary Diversity roles,Counts PD object roles and identifies hostile fauna clearance follow-up.,medium-high,Summary only; CSV needed for exact objects.,Use for PD and hostile-fauna slices.
research/stellar-ai/stellar-ai-director-trade-capacity-audit-2026-07-05.md,audit,trade capacity,Explains trade as logistics/capacity and compatibility with major mods.,medium-high,4.4.4-era; revalidate 4.4.5 if touched.,Use before market/trade changes.
research/stellar-ai/stellar-ai-director-threat-response-feasibility-2026-07-05.md,feasibility,war threat response,Documents verified primitives and safe non-forced-war threat response posture.,medium-high,Must verify exact syntax in current files/logs.,Use for war/threat changes.
research/stellar-ai/stellar-ai-director-threat-response-war-goal-classification-2026-07-05.csv,dataset,war goal classes,Classifies initial vanilla war goals and inert/forced-war behavior.,medium-high,Small initial allowlist; modded goals need research.,Use before expanding threat response.
research/stellar-ai/war-mechanics-reference-2026-07-08/,research packet,war mechanics,"Focused packet for claims, CBs, war goals, declaration gates, personality fields, defines, passive-galaxy diagnosis.",medium,External/reference packet; verify locally before code.,Use for future war-chain research.
research/stellar-ai/observer-runs/observer-20260707T*/summary.md,observer summaries,historical runtime evidence,Historical observer summaries include stopped-for-research-snowball-failure and checkpoint evidence.,medium,Historical 4.4.4; not current standalone proof.,Use only as provenance or after revalidation.
research/stellar-ai/stellar-ai-director-observer-smoke-save-summary-2026-07-04.md,observer summary,short smoke proof,Shows short Irony save reached early date and Director present.,medium,Explicitly not late-game high-ROI proof and historical.,Do not cite as current V2 proof.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/ship-design-reference-checks-2026-07-08.csv,dataset,ship design references,Large table for ship-design reference checks.,medium,Row-level inspection required.,Use for NSC3/ESC lane study.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/starbase-extended-scope-report-2026-07-08.csv,dataset,Starbase Extended scope,Scope report for Starbase Extended surfaces.,medium,Requires current source refresh if parent updated.,Use before defense expansion.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/gigas-megastructure-ai-hooks-2026-07-08.csv,dataset,Gigas AI hooks,Catalogs Gigas megastructure AI hook surfaces.,medium,Large CSV; row-level inspection required.,Use for Gigas queue/route research.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/active-load-order-conflict-matrix-2026-07-08.csv,dataset,active conflicts,Active load-order conflict matrix for 4.4.5 playset.,medium-high,Re-run after playset changes.,Use for conflict decisions.
tools/generate_stellar_ai_director_patch.py,tool,generation,Entry point for generated Director patch.,high,Wrapper around large library.,Run after generator changes.
tools/stellar_ai_director_lib.py,tool/library,generator logic,Main generator/validator/data logic.,high,Large file omitted inline; use JCodeMunch/local repo.,Primary implementation file.
tools/validate_stellar_ai_director_patch.py,tool,validation,Entry point for patch validator.,high,Exact checks in library.,Run before commit.
tools/build_stellar_ai_director_object_atlas.py,tool,atlas generation,Regenerates object atlas and validates artifacts.,high,Depends on current source snapshots.,Run when route/source coverage changes.
tools/manage_stellaris_commands_at_date.py,tool,observer harness safety,Manages live observer console command schedule; ensures status/enable/disable.,high,Touches live user folder if enabled.,Check status before/after observer approval.
tools/extract_stellar_ai_checkpoint.py,tool,observer save parsing,Extracts checkpoint metrics from approved observer saves.,medium-high,Only used after runtime approval/save availability.,Use in observer phase.
tools/tests/test_stellar_ai_director.py,tests,deterministic tests,Covers generator and generated-surface contracts.,high,Tests can be stale if not updated with new contracts.,Extend for every new behavior slice.
tools/tests/test_stellar_ai_observer_loop.py,tests,observer helpers,Tests observer harness behavior such as `game_speed 5`.,high,Not runtime proof.,Preserve before observer work.
Steam Community 4.4.5 announcement,external current source,version frame,Confirms Stellaris 4.4.5 Pegasus patch is live.,high for version announcement,Implementation still uses local files/logs.,"Use only for current-version framing, not script details."
