folder_path,object_type,current_scope,merge_behavior,ai_fields,common_blocks,conflict_risk,validation_method,common_mistakes,example_anchor
common/global_ship_designs/*.txt,global ship design,Design template context; schema-dependent,New designs additive; duplicate full override,AI/template/crisis/fallen empire designs,ship_size; sections; components; graphical culture,High,Source proof; rg components/sections; runtime spawn if allowed,Unavailable components; missing DLC/tech prerequisites,open_questions.md
common/strategic_resources/*.txt,resource,Resource definition; no normal scope except triggers in fields,New resources additive; duplicate full override,AI valuation indirect via economy categories/budgets,tradable; max; def; icon; prerequisites; visibility,High,Resource ID audit; icon/loc; budget/category check,Resource without economy/budget support; market/localisation gaps,open_questions.md
common/decisions/*.txt,planet decision,Planet scope with `from = country` per CWTools decision replace_scope; show_tech_unlock_if may be country,New IDs additive; duplicate full override,ai_weight,owned_planets_only; potential; allow; effect; resources; ai_weight,Medium-high,CWTools decision scope; local vanilla decisions; runtime decision availability/logs,Country triggers directly in planet scope; missing icon/loc; queued decision effects wrong scope,scope_atlas.md
common/edicts/*.txt,edict/campaign,Country scope for modifier/AI fields per CWTools country replace_scope; verify potential/allow/effects locally,New IDs additive; duplicate full override,ai_weight,potential; allow; effect; modifier; resources; length,Medium-high,CWTools edict schema; local edicts; loc/cost audit,Wrong cost category; adding ai_weight with bad capitalization/style; missing edict loc,scope_atlas.md
common/policies/*.txt,policy/options,Country scope for policy/options per CWTools modifier replace_scope; actor semantics local,New policy IDs additive; duplicate full override,AI_weight on option per CWTools; verify capitalization/style locally,option; potential; allow; flags; modifier; ai_weight,High,CWTools policies schema; vanilla policy examples; runtime availability,Using ai_weight instead of supported field; breaking policy flags; diplomacy/species-right side effects,scope_atlas.md
common/ascension_perks/*.txt,ascension perk,Usually country scope for potential/possible/ai_weight,New IDs additive; duplicate full override,ai_weight,potential; possible; modifier; on_enabled; icon,Medium-high,CWTools; loc/icon; prerequisites/DLC,Wrong scope in possible; missing DLC; old full override,scope_atlas.md
common/traditions/*.txt,tradition/tree,Usually country scope; verify tree schema,New IDs additive; duplicate full override; trees interlock,ai_weight where supported,tree; tradition; adoption/finish; potential; modifier,High,CWTools; tree refs; loc/icon; UI runtime if allowed,Breaking tree layout; assuming option-level merge,scope_atlas.md
common/federation_types/*.txt,federation type/perks/laws,Federation/country mixed; verify each block,New types additive; duplicate full override,AI acceptance/weight if supported,potential; perks; laws; modifiers; acceptance blocks,High,Source proof; CWTools; runtime diplomacy proof,Country triggers in federation scope; missing DLC gates,scope_atlas.md
common/bombardment_stances/*.txt,bombardment stance,Country/fleet/planet mixed; verify local schema,New stances additive; duplicate full override,ai_weight if supported; personality/war may dominate,trigger; allow; stop_when; damage/chance fields,Medium-high,CWTools; source proof; runtime war test if allowed,Available to wrong empires; bad policy gates,scope_atlas.md
common/species_traits/*.txt,species trait,Species/pop/country mixed by block; verify local schema,New traits additive; duplicate full override,creation/modification weights if supported,cost; modification; archetypes; potential; initial; modifier,High,CWTools; loc/icon; archetype/DLC audit,Country checks in species scope; broken generated species,open_questions.md
common/leader_traits/*.txt,leader trait,Leader scope; country via owner if supported,New traits additive; duplicate full override,selection/generation weights if supported,class; cost; modifier; triggered_modifier; potential,Medium-high,CWTools; loc/icon; class refs,Country triggers in leader scope; outdated councilor fields,open_questions.md
common/diplo_actions/*.txt,diplomatic action,Actor/recipient/country pair scopes; from/root action-specific,New actions additive; duplicate full override,ai_acceptance; ai_will_do/ai_weight if supported,potential; possible; effect; ai_acceptance; notifications,Very high,Exact source proof; CWTools; runtime diplomacy proof,Breaking diplomacy; wrong actor/recipient scope,validation_checklists.md
common/on_actions/*.txt,on-action hook,Event/effect scope depends on on_action and caller,Merge behavior version-sensitive; verify before patching,Indirect event AI behavior,events; random_events; effect; nested on_actions,Very high,Local proof; avoid full override; event conflict matrix,Assuming additive merge; duplicate event IDs; wrong event scope,open_questions.md
events/*.txt,event namespace/events,Event type defines ROOT/THIS; FROM depends on caller/on_action,Files additive; unique namespace/event IDs additive; duplicate event ID unsafe,"Indirect: AI-only events, random weights; avoid forcing hacks",namespace; country/planet/fleet event; trigger; immediate; option; MTTH,High,CWTools event validation; rg namespace/ID; logs; runtime if invoked,Missing namespace; wrong ROOT/FROM; unsaved event target,scope_atlas.md
localisation/**/*.yml,localisation key/value,No PDXScript scope; YAML-like parser,Keys additive; duplicate keys last-loaded; localisation/replace special override,None,"l_english header; key:0 ""Text""; formatting variables",Medium,BOM/header check; loc key audit; CWTools missing loc,No BOM/header; colon unquoted; duplicate keys; missing _desc,examples/localisation.yml.txt
localisation_synced/**/*.yml,network-synced localisation,No PDXScript scope,Similar key behavior; use cases version-sensitive,None,language header/key syntax,Low-medium,Same as localisation; compare vanilla use,Putting normal loc here without proof; missing BOM/header,examples/localisation.yml.txt
"interface/*.gui, interface/*.gfx",GUI layout/sprite definitions,No normal script scope; GUI parser/sprite names,Key/path sensitive; many UI files effectively full override,None,containerWindowType; iconType; spriteType; fonts; scripted GUI refs,Very high,Source proof; sprite audit; UI runtime proof,Blindly copying UI files; widget ID collisions; missing sprites,validation_checklists.md
gfx/interface/**,icons/textures,Asset path; no script scope,File path collision last-winner; sprites defined in .gfx,None,dds/png/tga assets; sprite refs,Medium-high,Reference audit; file exists/case sensitivity; UI runtime if allowed,Missing icon; wrong extension/case; no spriteType,validation_checklists.md
"gfx/models, gfx/portraits, common/portraits",models/portraits,Asset/portrait-definition context; exact schemas local,Definitions additive by ID; path collisions last-winner,None except creation weights elsewhere,entity; meshes; portrait; portrait_groups; species class refs,Medium-high,File existence/case; sprite/entity refs; runtime preview,Missing meshes/textures; wrong paths; unsupported animation refs,open_questions.md
map/**,galaxy/map data,Map parser; no ordinary scope except script fields,Often full-file/path overrides; load-order sensitive,Indirect via starts/generation,star_classes; initializers; galaxy shapes; bypass/init refs,Very high,Exact source proof; file-path conflict audit; runtime new galaxy,Editing map files without compatibility pass,open_questions.md
common/solar_system_initializers/*.txt,system initializer,System/initializer context; planets/stars nested scopes,New initializers additive; duplicate full override,None direct; affects starts/deposits/megastructures,planet; init_effect; flags; usage; neighbor_system,Medium-high,CWTools; refs from origins/events; runtime generation if allowed,Wrong nested scopes; invalid planet/deposit refs,scope_atlas.md
common/archaeological_site_types/*.txt,archaeological site,Site/stage context; events often planet/country/from chains,New sites additive; duplicate full override,Indirect; weights if supported,stages; event; max_instances; potential; visible; picture,Medium,CWTools; event/loc/picture refs; runtime dig if allowed,Wrong event scope; missing pictures/loc,scope_atlas.md
common/sector_focuses/*.txt,sector/automation focus,Sector/country/planet automation context; verify 4.4.4 schema,IDs additive; duplicate full override,Automation priorities; indirect construction pressure,weights/goals/resources/build lists if present,Medium-high,Local source proof; CWTools; runtime automation if allowed,Old automation assumptions; conflating player automation with empire AI,open_questions.md
