source_artifact,object_type,object_id,issue_key,source_mod,source_file,current_status,decision,resolved_value_or_policy,evidence,confidence,codex_action
strategic_infrastructure,building,building_giga_mega_housing,@mega_housing_upkeep,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@mega_housing_upkeep = 0.4,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @mega_housing_upkeep = 0.4.,high,Update source-local variable resolution so building:building_giga_mega_housing consumes @mega_housing_upkeep as 0.4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing,@ring_building_amenities,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_amenities = 1500,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_amenities = 1500.,high,Update source-local variable resolution so building:building_giga_mega_housing consumes @ring_building_amenities as 1500 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing,@ring_building_housing,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_housing = 1500,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_housing = 1500.,high,Update source-local variable resolution so building:building_giga_mega_housing consumes @ring_building_housing as 1500 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_communal,@mega_housing_upkeep,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@mega_housing_upkeep = 0.4,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @mega_housing_upkeep = 0.4.,high,Update source-local variable resolution so building:building_giga_mega_housing_communal consumes @mega_housing_upkeep as 0.4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_communal,@ring_building_amenities_communal,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_amenities_communal = 2500,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_amenities_communal = 2500.,high,Update source-local variable resolution so building:building_giga_mega_housing_communal consumes @ring_building_amenities_communal as 2500 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_communal,@ring_building_housing_communal,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_housing_communal = 2000,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_housing_communal = 2000.,high,Update source-local variable resolution so building:building_giga_mega_housing_communal consumes @ring_building_housing_communal as 2000 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_hive,@mega_housing_upkeep,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@mega_housing_upkeep = 0.4,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @mega_housing_upkeep = 0.4.,high,Update source-local variable resolution so building:building_giga_mega_housing_hive consumes @mega_housing_upkeep as 0.4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_hive,@ring_building_amenities,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_amenities = 1500,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_amenities = 1500.,high,Update source-local variable resolution so building:building_giga_mega_housing_hive consumes @ring_building_amenities as 1500 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_hive,@ring_building_housing,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_housing = 1500,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_housing = 1500.,high,Update source-local variable resolution so building:building_giga_mega_housing_hive consumes @ring_building_housing as 1500 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_machine,@mega_housing_upkeep,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@mega_housing_upkeep = 0.4,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @mega_housing_upkeep = 0.4.,high,Update source-local variable resolution so building:building_giga_mega_housing_machine consumes @mega_housing_upkeep as 0.4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_machine,@ring_building_amenities,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_amenities = 1500,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_amenities = 1500.,high,Update source-local variable resolution so building:building_giga_mega_housing_machine consumes @ring_building_amenities as 1500 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_giga_mega_housing_machine,@ring_building_housing,Gigastructural Engineering & More (4.4),common\buildings\giga_ring_world_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@ring_building_housing = 1500,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\buildings\giga_ring_world_buildings.txt: @ring_building_housing = 1500.,high,Update source-local variable resolution so building:building_giga_mega_housing_machine consumes @ring_building_housing as 1500 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_hab_capital,@tier_2_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_2_capital_defense_armies = 4,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_2_capital_defense_armies = 4.,high,Update source-local variable resolution so building:building_hab_capital consumes @tier_2_capital_defense_armies as 4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_hab_major_capital,@tier_3_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_3_capital_defense_armies = 8,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_3_capital_defense_armies = 8.,high,Update source-local variable resolution so building:building_hab_major_capital consumes @tier_3_capital_defense_armies as 8 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_hab_system_capital,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_hab_system_capital consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_hive_capital,@tier_2_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_2_capital_defense_armies = 4,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_2_capital_defense_armies = 4.,high,Update source-local variable resolution so building:building_hive_capital consumes @tier_2_capital_defense_armies as 4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_hive_major_capital,@tier_3_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_3_capital_defense_armies = 8,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_3_capital_defense_armies = 8.,high,Update source-local variable resolution so building:building_hive_major_capital consumes @tier_3_capital_defense_armies as 8 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_imperial_capital,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_imperial_capital consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_imperial_capital_wilderness,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\21_wilderness_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_imperial_capital_wilderness consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_imperial_concession_port,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_imperial_concession_port consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_imperial_hive_capital,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_imperial_hive_capital consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_imperial_machine_capital,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_imperial_machine_capital consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_industrial_subsidiary,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_industrial_subsidiary consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_knightly_theme_park,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_knightly_theme_park consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_machine_capital,@tier_2_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_2_capital_defense_armies = 4,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_2_capital_defense_armies = 4.,high,Update source-local variable resolution so building:building_machine_capital consumes @tier_2_capital_defense_armies as 4 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_machine_major_capital,@tier_3_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_3_capital_defense_armies = 8,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_3_capital_defense_armies = 8.,high,Update source-local variable resolution so building:building_machine_major_capital consumes @tier_3_capital_defense_armies as 8 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_machine_system_capital,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_machine_system_capital consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_major_capital,@tier_3_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_3_capital_defense_armies = 8,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_3_capital_defense_armies = 8.,high,Update source-local variable resolution so building:building_major_capital consumes @tier_3_capital_defense_armies as 8 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_major_capital_wilderness,@tier_3_capital_defense_armies,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_3_capital_defense_armies = 8,Source-local variable assignment found in Stellaris vanilla/common\buildings\21_wilderness_buildings.txt: @tier_3_capital_defense_armies = 8.,high,Update source-local variable resolution so building:building_major_capital_wilderness consumes @tier_3_capital_defense_armies as 8 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_military_contractors,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_military_contractors consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_private_mining_consortium,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_private_mining_consortium consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_private_research_initiative,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_private_research_initiative consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_private_security,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_private_security consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_private_shipyards,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_private_shipyards consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_psionic_offices,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_psionic_offices consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_public_relations_office,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_public_relations_office consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_system_capital,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\00_capital_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\00_capital_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_system_capital consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_system_capital_wilderness,@tier_4_capital_defense_armies,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@tier_4_capital_defense_armies = 16,Source-local variable assignment found in Stellaris vanilla/common\buildings\21_wilderness_buildings.txt: @tier_4_capital_defense_armies = 16.,high,Update source-local variable resolution so building:building_system_capital_wilderness consumes @tier_4_capital_defense_armies as 16 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_virtual_entertainment_studios,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_virtual_entertainment_studios consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,building,building_xeno_tourism_agency,@crime_floor_from_legal_crime,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,variable_value_unresolved,resolved_source_local_variable,@crime_floor_from_legal_crime = 5,Source-local variable assignment found in Stellaris vanilla/common\buildings\14_branch_office_buildings.txt: @crime_floor_from_legal_crime = 5.,high,Update source-local variable resolution so building:building_xeno_tourism_agency consumes @crime_floor_from_legal_crime as 5 and remove this unresolved_variable blocker row.
strategic_infrastructure,district,district_cosmogenesis_world_logic,@lathe_upkeep,Stellaris vanilla,common\districts\00_special_districts.txt,variable_value_unresolved,resolved_source_local_variable,@lathe_upkeep = 50,Source-local variable assignment found in Stellaris vanilla/common\districts\00_special_districts.txt: @lathe_upkeep = 50.,high,Update source-local variable resolution so district:district_cosmogenesis_world_logic consumes @lathe_upkeep as 50 and remove this unresolved_variable blocker row.
strategic_infrastructure,district,district_cosmogenesis_world_science,@lathe_upkeep,Stellaris vanilla,common\districts\00_special_districts.txt,variable_value_unresolved,resolved_source_local_variable,@lathe_upkeep = 50,Source-local variable assignment found in Stellaris vanilla/common\districts\00_special_districts.txt: @lathe_upkeep = 50.,high,Update source-local variable resolution so district:district_cosmogenesis_world_science consumes @lathe_upkeep as 50 and remove this unresolved_variable blocker row.
strategic_infrastructure,district,district_giga_birch_void_ktisma,@void_birch_maintenance,Gigastructural Engineering & More (4.4),common\districts\giga_voidbirch.txt,variable_value_unresolved,resolved_source_local_variable,@void_birch_maintenance = 1000,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\districts\giga_voidbirch.txt: @void_birch_maintenance = 1000.,high,Update source-local variable resolution so district:district_giga_birch_void_ktisma consumes @void_birch_maintenance as 1000 and remove this unresolved_variable blocker row.
strategic_infrastructure,district,district_giga_birch_void_physma,@void_birch_maintenance,Gigastructural Engineering & More (4.4),common\districts\giga_voidbirch.txt,variable_value_unresolved,resolved_source_local_variable,@void_birch_maintenance = 1000,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\districts\giga_voidbirch.txt: @void_birch_maintenance = 1000.,high,Update source-local variable resolution so district:district_giga_birch_void_physma consumes @void_birch_maintenance as 1000 and remove this unresolved_variable blocker row.
strategic_infrastructure,district,district_giga_birch_void_structure,@void_birch_maintenance,Gigastructural Engineering & More (4.4),common\districts\giga_voidbirch.txt,variable_value_unresolved,resolved_source_local_variable,@void_birch_maintenance = 1000,Source-local variable assignment found in Gigastructural Engineering & More (4.4)/common\districts\giga_voidbirch.txt: @void_birch_maintenance = 1000.,high,Update source-local variable resolution so district:district_giga_birch_void_structure consumes @void_birch_maintenance as 1000 and remove this unresolved_variable blocker row.
