define_name,file_path,vanilla_value,description_or_comment,controls,increase_effect,decrease_effect,zero_effect,interactions,large_galaxy_risks,confidence,source_reference
HIGH_THREAT_THRESHOLD,common/defines/00_defines.txt,50,Threshold for high-threat evaluation,Diplomatic threat state,Higher harder to count as high threat,Lower easier,0 all threat may count high if engine uses threshold directly,threat generation and decay,Too low galaxy gangs up constantly,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
SHARED_THREAT_MULT,common/defines/00_defines.txt,0.5,How much threat is shared between empires,Shared threat diplomacy,Higher more shared-threat alignment,Lower less shared response,0 removes shared threat,defensive pacts/federations/trust,High values promote alliance blocs,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_SHARED_THREAT_REDUCTION,common/defines/00_defines.txt,4,Reduction of threat by shared threat relation,Threat dampening,Higher dampens threat faster,Lower preserves threat,0 no shared-threat reduction,SHARED_THREAT_MULT,Can overcorrect diplomacy in crowded galaxies,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
SHARED_THREAT_MAX,common/defines/00_defines.txt,200,Maximum shared threat value,Shared threat cap,Higher larger alliance motive,Lower caps motive sooner,0 removes useful shared threat cap value,SHARED_THREAT_MULT,High values can create permanent blocs,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_DECAY,common/defines/00_defines.txt,-0.25,Monthly/periodic threat decay value from defines,Threat decay,More negative decays faster,Closer to 0 threat lasts longer,0 no decay,"threat generation, personality threat_modifier",No decay can lock diplomacy; high decay can erase consequences,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_DISTANCE_FACTOR,common/defines/00_defines.txt,0.01,Distance factor in threat evaluation,Threat by distance,Higher distance matters more,Lower threat ignores distance more,0 removes distance scaling,galaxy size/hyperlanes,Too high remote conquests ignored; too low all galaxy reacts,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_SIZE_FACTOR,common/defines/00_defines.txt,1.0,Empire-size factor in threat evaluation,Threat by size,Higher size effect stronger,Lower weaker,0 removes size factor,min/max size factors,Can over-penalize large empires,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_NAP_FACTOR,common/defines/00_defines.txt,0.5,Threat modifier under non-aggression pact,Threat under NAPs,Higher NAP partners still feel threat,Lower NAP dampens threat,0 NAP removes threat effect,"NAP acceptance, diplomacy",Too low makes NAP webs pacifying,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_POSITIVE_OPINION_FACTOR,common/defines/00_defines.txt,0.002,Threat scaling from positive opinion,Threat/opinion interaction,Higher opinion affects threat more,Lower less,0 ignores positive opinion,opinion levels,Can mute or amplify threat unexpectedly,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_NEGATIVE_OPINION_FACTOR,common/defines/00_defines.txt,0.002,Threat scaling from negative opinion,Threat/opinion interaction,Higher negative opinion affects threat more,Lower less,0 ignores negative opinion,opinion levels,Can create hostility spirals,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_OPINION_MAX,common/defines/00_defines.txt,1.25,Maximum opinion scaling on threat,Threat cap,Higher allows more opinion amplification,Lower caps it,0 would collapse scaled threat if used as multiplier,opinion factors,High values make grudges durable,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
THREAT_OPINION_MIN,common/defines/00_defines.txt,0.75,Minimum opinion scaling on threat,Threat floor,Higher raises minimum threat,Lower allows more damping,0 permits full damping,opinion factors,Low values pacify friends too much,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: threat/trust/threat-opinion defines, fileciteturn12file0L37-L55"
ACTION_MIN_DAYS_REJECTED,common/defines/00_defines.txt,30,Minimum days before AI re-proposes after rejection,Diplomatic action retry pacing,Higher slows retries,Lower speeds retries,0 immediate retries risk,DIPLO_ACTION_REPEAT_DELAY,Low values can spam diplomatic state changes,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: diplomatic action cooldown/repeat defines, fileciteturn12file0L65-L72"
DIPLO_BREAK_THRESHOLD,common/defines/00_defines.txt,-30,Opinion threshold for breaking diplomatic relations,Diplomatic pact breaking,Higher breaks at less negative opinion,Lower requires worse opinion,0 breaks at neutral-ish if used directly,"pacts, trust, war blockers",Too low keeps peace webs; too high churns pacts/truces,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: diplomatic action cooldown/repeat defines, fileciteturn12file0L65-L72"
