surface,file_path,key_or_object,default_value,controls,increase_effect,decrease_effect,zero_or_missing_effect,prerequisites,consumed_by,interactions,failure_modes,modding_risk,confidence,source_reference
game_rule,common/game_rules/00_rules.txt,can_add_claim,script rule with hardcoded caveat,claim placement legality,More legal claims if relaxed,Fewer claims,Claim UI/action unavailable if false; hardcoded may still block if true,claimer/owner/system scopes,claim action and cb_claim path,war_philosophy; owner type; defensive wars; genocidal/assimilator rules,No conquest CB,High: gameplay-wide implications,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/game_rules/00_rules.txt: can_add_claim rules and hardcoded caveat, fileciteturn49file0L3-L7 and fileciteturn49file0L29-L135"
casus_belli,common/casus_belli/00_casus_belli.txt,cb_claim,vanilla object,conquest CB from claims,Broader claim-war access if relaxed,Fewer conquest wars,No claim wars,claims; no total-war CB; not federation; subject restrictions,wg_conquest,"claims, total-war CBs, federation",Claim exists but no CB if blocked,High,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/casus_belli/00_casus_belli.txt: cb_claim/cb_subjugation/cb_humiliation/cb_ideology, fileciteturn22file0L14-L184; Public mirror HildoYe/game_files@e6d531, common/war_goals/00_war_goals.txt: conquest/humiliation wargoals, fileciteturn29file0L143-L291"
casus_belli,common/casus_belli/00_casus_belli.txt,cb_subjugation,vanilla object,subjugation CB,More vassalization wars if power/target gates relaxed,Fewer subjugation wars,No subjugation CB,target independent; actor not subject; relative_power > equivalent unless awakened,wg_subjugation/wg_tribute/corporate variants,bravery; fleet economy; target claims,Strong-looking AI never vassalizes due to relative power or target subject,High,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/casus_belli/00_casus_belli.txt: cb_claim/cb_subjugation/cb_humiliation/cb_ideology, fileciteturn22file0L14-L184; Public mirror HildoYe/game_files@e6d531, common/war_goals/00_war_goals.txt: plunder/subjugation/ideology wargoals, fileciteturn25file0L189-L258, fileciteturn26file0L135-L202, fileciteturn28file0L240-L298"
casus_belli,common/casus_belli/00_casus_belli.txt,cb_humiliation,vanilla object,humiliation CB,More non-territorial wars if rivalry/GC paths expanded,Fewer rivalry wars,No humiliation path,rivalry or GC condition; no total-war; policy restrictions,wg_humiliation,action_make_rival; opinion; is_valid_rival,No war despite rivalry expectations,Medium-high,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/casus_belli/00_casus_belli.txt: cb_claim/cb_subjugation/cb_humiliation/cb_ideology, fileciteturn22file0L14-L184; Public mirror HildoYe/game_files@e6d531, common/diplomatic_actions/00_actions.txt: action_make_rival, fileciteturn35file0L45-L167"
casus_belli,common/casus_belli/00_casus_belli.txt,cb_ideology,vanilla object,ideology CB,More ideology wars if policy/ethic gates relaxed,Fewer ideology wars,No force ideology wars,liberation_wars; non-gestalt; ethics mismatch; no total-war,wg_force_ideology,policy on_enabled/on_disabled refresh,Liberation policy but no CB because no ethics mismatch,Medium,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/casus_belli/00_casus_belli.txt: cb_claim/cb_subjugation/cb_humiliation/cb_ideology, fileciteturn22file0L14-L184; Public mirror HildoYe/game_files@e6d531, common/policies/00_policies.txt: war_philosophy, unrestricted/liberation/no_wars, fileciteturn21file0L21-L48 and fileciteturn20file0L16-L68, fileciteturn20file0L71-L154"
casus_belli,common/casus_belli/00_casus_belli.txt,total-war CBs,cb_purification/cb_hunger/cb_sublimation/cb_containment/cb_colossus/cb_stop_colossus,total-war access and normal-CB suppression,More existential wars and direct occupation transfer,Fewer total wars,No total-war path,civics/technology/target threat/colossus,total-war wargoals,has_total_war_cb blocks normal CBs,Normal conquest suppressed by broad total-war CB,Very high,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/casus_belli/00_casus_belli.txt: total-war and special CBs, fileciteturn22file0L186-L237 and fileciteturn23file0L18-L112; Public mirror HildoYe/game_files@e6d531, common/war_goals/00_war_goals.txt: total-war wargoals, fileciteturn24file0L105-L230 and fileciteturn25file0L48-L187"
war_goal,common/war_goals/00_war_goals.txt,wg_conquest,ai_weight 2,claim-war declaration option and outcomes,Higher AI selection relative to other goals if weight raised,AI may pick other goals,No conquest war goal despite cb_claim,cb_claim and possible triggers,war declaration UI/AI,claims; Pax/Emperor; total-war blocking,CB exists but conquest not selected/available,High,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/war_goals/00_war_goals.txt: conquest/humiliation wargoals, fileciteturn29file0L143-L291"
war_goal,common/war_goals/00_war_goals.txt,wg_humiliation,ai_weight 1,humiliation war option,More likely selected among possible goals,Less likely,No humiliation option,cb_humiliation; target unclaimed colony check; no total-war,war declaration UI/AI,rivalry; all-claims block; Pax/Emperor,Rival but no humiliate war,Medium,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/war_goals/00_war_goals.txt: conquest/humiliation wargoals, fileciteturn29file0L143-L291"
war_goal,common/war_goals/00_war_goals.txt,wg_subjugation,ai_weight 10; factor 0 if wants_tribute,vassalization war option,More subjugation selection,Less selection,No vassalization option,cb_subjugation; not inward perfection/corporate/BTC/total-war; target not fully claimed,war declaration UI/AI,subjugation_war_terms; relative power; wargoal all-claims block,CB exists but cannot vassalize due to target claims or galactic role,High,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/war_goals/00_war_goals.txt: plunder/subjugation/ideology wargoals, fileciteturn25file0L189-L258, fileciteturn26file0L135-L202, fileciteturn28file0L240-L298"
diplomatic_action,common/diplomatic_actions/00_actions.txt,action_declare_war,requires_alliance_vote=yes; requires_unanimous_vote=yes; auto_accepted=yes,final diplomatic action surface,Relaxing possible can allow more script-visible declarations,Stricter blockers reduce wars,Core declare action broken or replaced; no normal declarations,CB/wargoal and hardcoded rules,diplomacy engine; federation law settings,federation laws; subjects; hardcoded special cases,CB/wargoal exists but declaration action blocked,Very high overwrite risk,confirmed-public-mirror plus hardcoded caveat,"Public mirror HildoYe/game_files@e6d531, common/diplomatic_actions/00_actions.txt: action_declare_war object, fileciteturn45file0L108-L144; Public mirror HildoYe/game_files@e6d531, common/diplomatic_actions/00_actions.txt: diplomatic-action schema comments, fileciteturn32file0L3-L26"
federation_law,common/federation_laws/08_declare_war_vote.txt,declare_war_*_vote,unanimous/majority/leader settings,federation war vote requirement,Leader/majority laws make war easier than unanimous,Unanimous makes wars harder,Default action unanimous may dominate,Federations DLC/type/centralization/law cooldown,set_diplomacy_action_setting action_declare_war,requires_alliance_vote on action_declare_war,Federation AI never gets unanimous approval,Medium-high,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/federation_laws/08_declare_war_vote.txt: declare-war federation laws, fileciteturn46file0L5-L51, fileciteturn46file0L54-L105, fileciteturn46file0L160-L222, fileciteturn47file0L4-L17"
define,common/defines/00_defines.txt,WAR_DECLARATION_*,MAX_DISTANCE 50; MALUS_DISTANCE 25; MALUS 0.05; MINIMUM_SCORE 0.5,target distance and score floor,Depends: max distance up expands targets; malus/min score up makes declarations harder,Depends: lower max narrows; lower malus/min makes wars easier,0 max/score logic can create pathological no-war or all-war behavior,Candidate target exists,AI war-declaration scoring,claim distance; galaxy size; hyperlane topology,Large galaxy AIs never consider targets,High in large modded galaxies,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: war declaration distance/score defines, fileciteturn9file0L99-L103"
define,common/defines/00_defines.txt,ENEMY_FLEET_POWER_MULT,1.2,offensive mission confidence after war starts,More cautious offensives,More aggressive attacks,0 would make AI overconfident if accepted; risky,War started; enemy fleet power known,military AI,bravery; fleet power; target priorities,War declared but no attack,High,confirmed-public-mirror,"Public mirror HildoYe/game_files@e6d531, common/defines/00_defines.txt: fleet confidence/mission defines, fileciteturn9file0L17-L19 and fileciteturn14file0L87-L106"
